1607444665251.csv;;;;;;;;;;;;
Initial time: 1607444603859	| Ending time: 1607444665248	| Duration: 61,4 sec	| Sample rate: 0;;;;;;;;;;;;
MAC ADDRESS; SEQ ID; DIGITAL;;;; ANALOG;;;;;; TIMESTAMP
88:6B:0F:F1:94:16;4;1;1;0;0;0;468;0;0;0;0;1607444622245
88:6B:0F:F1:94:16;5;1;1;0;0;3;540;0;0;0;0;1607444622327
88:6B:0F:F1:94:16;6;1;1;0;0;0;504;0;0;0;0;1607444622435
88:6B:0F:F1:94:16;7;1;1;0;0;3;499;0;0;0;0;1607444622542
88:6B:0F:F1:94:16;8;1;1;0;0;0;491;0;0;0;0;1607444622624
88:6B:0F:F1:94:16;9;1;1;0;0;3;489;0;0;0;0;1607444622740
88:6B:0F:F1:94:16;10;1;1;0;0;1;500;0;0;0;0;1607444622823
88:6B:0F:F1:94:16;11;1;1;0;0;3;485;0;0;0;0;1607444622934
88:6B:0F:F1:94:16;12;1;1;0;0;1;527;0;0;0;0;1607444623037
88:6B:0F:F1:94:16;13;1;1;0;0;3;528;0;0;0;0;1607444623145
88:6B:0F:F1:94:16;14;1;1;0;0;0;505;0;0;0;0;1607444623227
88:6B:0F:F1:94:16;15;1;1;0;0;3;502;0;0;0;0;1607444623346
88:6B:0F:F1:94:16;0;1;1;0;0;0;492;0;0;0;0;1607444623435
88:6B:0F:F1:94:16;1;1;1;0;0;3;497;0;0;0;0;1607444623548
88:6B:0F:F1:94:16;2;1;1;0;0;1;475;0;0;0;0;1607444623626
88:6B:0F:F1:94:16;3;1;1;0;0;3;543;0;0;0;0;1607444623735
88:6B:0F:F1:94:16;4;1;1;0;0;1;507;0;0;0;0;1607444623843
88:6B:0F:F1:94:16;5;1;1;0;0;1;496;0;0;0;0;1607444623945
88:6B:0F:F1:94:16;6;1;1;0;0;1;496;0;0;0;0;1607444624032
88:6B:0F:F1:94:16;7;1;1;0;0;3;503;0;0;0;0;1607444624141
88:6B:0F:F1:94:16;8;1;1;0;0;0;487;0;0;0;0;1607444624224
88:6B:0F:F1:94:16;9;1;1;0;0;3;528;0;0;0;0;1607444624335
88:6B:0F:F1:94:16;10;1;1;0;0;0;511;0;0;0;0;1607444624438
88:6B:0F:F1:94:16;11;1;1;0;0;3;502;0;0;0;0;1607444624520
88:6B:0F:F1:94:16;12;1;1;0;0;1;506;0;0;0;0;1607444624635
88:6B:0F:F1:94:16;13;1;1;0;0;3;498;0;0;0;0;1607444624721
88:6B:0F:F1:94:16;14;1;1;0;0;1;495;0;0;0;0;1607444624824
88:6B:0F:F1:94:16;15;1;1;0;0;3;475;0;0;0;0;1607444624932
88:6B:0F:F1:94:16;0;1;1;0;0;1;540;0;0;0;0;1607444625045
88:6B:0F:F1:94:16;1;1;1;0;0;3;512;0;0;0;0;1607444625129
88:6B:0F:F1:94:16;2;1;1;0;0;1;500;0;0;0;0;1607444625227
88:6B:0F:F1:94:16;3;1;1;0;0;3;495;0;0;0;0;1607444625338
88:6B:0F:F1:94:16;4;1;1;0;0;1;519;0;0;0;0;1607444625438
88:6B:0F:F1:94:16;5;1;1;0;0;3;491;0;0;0;0;1607444625525
88:6B:0F:F1:94:16;6;1;1;0;0;1;468;0;0;0;0;1607444625635
88:6B:0F:F1:94:16;7;1;1;0;0;3;548;0;0;0;0;1607444625720
88:6B:0F:F1:94:16;8;1;1;0;0;0;525;0;0;0;0;1607444625834
88:6B:0F:F1:94:16;9;1;1;0;0;3;511;0;0;0;0;1607444625944
88:6B:0F:F1:94:16;10;1;1;0;0;1;491;0;0;0;0;1607444626023
88:6B:0F:F1:94:16;11;1;1;0;0;1;495;0;0;0;0;1607444626135
88:6B:0F:F1:94:16;12;1;1;0;0;1;487;0;0;0;0;1607444626238
88:6B:0F:F1:94:16;13;1;1;0;0;1;473;0;0;0;0;1607444626320
88:6B:0F:F1:94:16;14;1;1;0;0;1;464;0;0;0;0;1607444626437
88:6B:0F:F1:94:16;15;1;1;0;0;3;531;0;0;0;0;1607444626529
88:6B:0F:F1:94:16;0;1;1;0;0;0;510;0;0;0;0;1607444626636
88:6B:0F:F1:94:16;1;1;1;0;0;3;499;0;0;0;0;1607444626745
88:6B:0F:F1:94:16;2;1;1;0;0;0;486;0;0;0;0;1607444626828
88:6B:0F:F1:94:16;3;1;1;0;0;3;500;0;0;0;0;1607444626936
88:6B:0F:F1:94:16;4;1;1;0;0;1;500;0;0;0;0;1607444627044
88:6B:0F:F1:94:16;5;1;1;0;0;3;485;0;0;0;0;1607444627132
88:6B:0F:F1:94:16;6;1;1;0;0;1;497;0;0;0;0;1607444627240
88:6B:0F:F1:94:16;7;1;1;0;0;3;527;0;0;0;0;1607444627322
88:6B:0F:F1:94:16;8;1;1;0;0;0;503;0;0;0;0;1607444627434
88:6B:0F:F1:94:16;9;1;1;0;0;3;495;0;0;0;0;1607444627537
88:6B:0F:F1:94:16;10;1;1;0;0;0;470;0;0;0;0;1607444627645
88:6B:0F:F1:94:16;11;1;1;0;0;3;393;0;0;0;0;1607444627733
88:6B:0F:F1:94:16;12;1;1;0;0;1;488;0;0;0;0;1607444627835
88:6B:0F:F1:94:16;13;1;1;0;0;3;473;0;0;0;0;1607444627945
88:6B:0F:F1:94:16;14;1;1;0;0;0;534;0;0;0;0;1607444628029
88:6B:0F:F1:94:16;15;1;1;0;0;3;517;0;0;0;0;1607444628135
88:6B:0F:F1:94:16;0;1;1;0;0;0;500;0;0;0;0;1607444628244
88:6B:0F:F1:94:16;1;1;1;0;0;3;489;0;0;0;0;1607444628332
88:6B:0F:F1:94:16;2;1;1;0;0;1;493;0;0;0;0;1607444628440
88:6B:0F:F1:94:16;3;1;1;0;0;1;504;0;0;0;0;1607444628522
88:6B:0F:F1:94:16;4;1;1;0;0;0;486;0;0;0;0;1607444628632
88:6B:0F:F1:94:16;5;1;1;0;0;3;519;0;0;0;0;1607444628737
88:6B:0F:F1:94:16;6;1;1;0;0;1;523;0;0;0;0;1607444628845
88:6B:0F:F1:94:16;7;1;1;0;0;3;509;0;0;0;0;1607444628933
88:6B:0F:F1:94:16;8;1;1;0;0;0;505;0;0;0;0;1607444629065
